#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"104,918,830",,"1,141,862                                ",,"102,226,376",,"1,550,592","2,900","313,373","3,411","1,162,906,458","3,473,382","334,805,269 ",North America,,32930,,,"4,631",
2,India,"44,684,658",,"530,757                                ",,"44,152,039",,"1,862",N/A,"31,767",377,"917,510,608","652,275","1,406,631,776 ",Asia,,"312,6502",,,1,
3,France,"39,578,468",,"164,684                                ",,"39,343,470",,"70,314",869,"603,473","2,511","271,490,188","4,139,547","65,584,518 ",Europe,,23980,,,"1,072",
4,Germany,"37,986,750",,"167,214                                ",,"37,579,500","+10,100","240,036",N/A,"452,851","1,993","122,332,384","1,458,359","83,883,596 ",Europe,,25021,,,"2,862",
5,Brazil,"36,970,513",,"698,014                                ",,"36,106,527",,"165,972",N/A,"171,674","3,241","63,776,166","296,146","215,353,593 ",South America,,63093,,,771,
6,Japan,"33,040,963",,"71,308                                ",,"21,650,851",,"11,318,804",254,"263,097",568,"94,061,751","748,990","125,584,838 ",Asia,,"41,7611",,,"90,129",
7,S. Korea,"30,408,656","+11,436","33,832                                ",+28,"30,123,213","+7,394","251,611",216,"592,416",659,"15,804,065","307,892","51,329,899 ",Asia,,"21,5173",223,0.5,"4,902",
8,Italy,"25,519,067",,"187,551                                ",,"25,135,458",,"196,058",163,"423,463","3,112","266,620,812","4,424,304","60,262,770 ",Europe,,23210,,,"3,253",
9,UK,"24,315,983",,"205,540                                ",,"24,060,686","+1,868","49,757",N/A,"354,989","3,001","522,526,476","7,628,357","68,497,907 ",Europe,,33330,,,726,
10,Russia,"22,137,084","+15,359","395,727                                ",+38,"21,484,054","+11,245","257,303",N/A,"151,826","2,714","273,400,000","1,875,095","145,805,947 ",Europe,,73681,105,0.3,"1,765",
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,,58431,,,"1,819",
12,Spain,"13,748,918",,"118,976                                ",,"13,578,453",,"51,489",231,"294,289","2,547","471,036,328","10,082,298","46,719,142 ",Europe,,33930,,,"1,102",
13,Vietnam,"11,526,786",,"43,186                                ",,"10,614,716",,"868,884",5,"116,487",436,"85,826,548","867,342","98,953,541 ",Asia,,"92,2911",,,"8,781",
14,Australia,"11,345,635","+2,185","19,258                                ",+27,"11,297,901",+426,"28,476",44,"435,219",739,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,,"21,3540",84,1,"1,092",
15,Argentina,"10,042,136",,"130,448                                ",,"9,904,158",+632,"7,530",363,"218,259","2,835","35,716,069","776,264","46,010,234 ",South America,,53531,,,164,
16,Taiwan,"9,894,283","+15,440","17,397                                ",+78,"9,438,598","+27,376","438,288",,"414,184",728,"30,653,458","1,283,184","23,888,595 ",Asia,,"21,3731",646,3,"18,347",
17,Netherlands,"8,587,919",,"22,992                                ",,"8,555,826",+458,"9,101",53,"498,966","1,336","25,984,435","1,509,718","17,211,447 ",Europe,,27491,,,529,
18,Iran,"7,566,265",,"144,793                                ",,"7,338,520",,"82,952",261,"87,956","1,683","55,034,937","639,771","86,022,837 ",Asia,,115942,,,964,
19,Mexico,"7,414,918",,"332,695                                ",,"6,656,060",,"426,163",N/A,"56,360","2,529","19,465,548","147,956","131,562,772 ",North America,,183957,,,"3,239",
20,Indonesia,"6,733,697",,"160,880                                ",,"6,568,681",,"4,136",N/A,"24,123",576,"114,158,919","408,975","279,134,505 ",Asia,,"411,7352",,,15,
21,Poland,"6,398,027","+1,923","118,817                                ",+8,"5,335,940",,"943,270",696,"169,530","3,148","38,205,519","1,012,341","37,739,785 ",Europe,,63181,51,0.2,"24,994",
22,Colombia,"6,358,775",,"142,596                                ",,"6,182,304",,"33,875",342,"123,441","2,768","36,951,507","717,327","51,512,762 ",South America,,83611,,,658,
23,Austria,"5,849,332",,"21,799                                ",,"5,781,762",,"45,771",40,"645,144","2,404","211,273,524","23,302,116","9,066,710 ",Europe,,24160,,,"5,048",
24,Greece,"5,831,467",,"35,957                                ",,"5,703,151","+15,393","92,359",115,"565,249","3,485","102,228,365","9,909,078","10,316,637 ",Europe,,22870,,,"8,952",
25,Portugal,"5,566,708",,"26,117                                ",,"5,536,293",,"4,298",61,"548,954","2,575","45,948,100","4,531,116","10,140,570 ",Europe,,23880,,,424,
26,Ukraine,"5,382,095",,"111,175                                ",,"5,259,805",+424,"11,115",,"124,608","2,574","32,603,805","754,855","43,192,122 ",Europe,,83891,,,257,
27,Chile,"5,144,220",,"64,040                                ",,"5,076,269",,"3,911",97,"267,230","3,327","48,302,660","2,509,204","19,250,195 ",South America,,43010,,,203,
28,Malaysia,"5,040,368",,"36,954                                ",,"4,994,015",,"9,399",8,"151,905","1,114","67,926,624","2,047,150","33,181,072 ",Asia,,78980,,,283,
29,Israel,"4,793,243",,"12,246                                ",,"4,776,010",,"4,987",57,"513,966","1,313","41,373,364","4,436,346","9,326,000 ",Asia,,27620,,,535,
